name,n,succ,chase,bb,k,whiff
"Paredes, Isaac",8,1.0,26.9,10.2,16.6,16.6
"Eldridge, Bryce",8,1.0,26.3,12.9,21.4,22.1
"Schneider, Davis",12,0.8333333333333334,20.5,16.4,31.8,30.3
"Kurtz, Nick",10,0.8,21.7,20.4,29.6,35.2
"Rooker, Brent",9,0.7777777777777778,31.0,9.4,32.0,38.4
"Judge, Aaron",8,0.75,25.8,16.1,27.6,32.2
"Cowser, Colton",8,0.75,27.9,11.9,28.6,32.5
"Moreno, Gabriel",8,0.75,33.0,10.2,17.8,18.1
"Altuve, Jose",17,0.7058823529411765,33.2,9.4,22.6,25.4
"McGonigle, Kevin",17,0.7058823529411765,17.8,14.3,13.1,14.4
"Hernández, Teoscar",10,0.7,26.1,9.3,27.0,29.1
"Betts, Mookie",10,0.7,19.4,7.7,12.6,13.6
"Stewart, Sal",30,0.6666666666666666,27.5,12.5,20.5,27.4
"Schwarber, Kyle",14,0.6428571428571429,24.4,14.0,34.0,34.1
"Bell, Josh",11,0.6363636363636364,31.3,7.0,22.7,25.2
"Rocchio, Brayan",11,0.6363636363636364,32.5,8.6,12.9,23.1
"Jeffers, Ryan",8,0.625,23.3,15.5,15.5,16.5
"Witt Jr., Bobby",8,0.625,32.8,10.4,16.9,23.4
"Ward, Taylor",8,0.625,13.0,17.8,20.3,17.5
"Durbin, Caleb",8,0.625,27.3,5.5,13.9,15.9
"Suzuki, Seiya",8,0.625,23.2,11.2,25.8,26.7
"Basallo, Samuel",13,0.6153846153846154,39.8,8.5,26.0,30.6
"Dingler, Dillon",10,0.6,33.9,7.7,20.6,21.8
"Vargas, Miguel",10,0.6,20.4,13.9,17.0,20.3
"Perdomo, Geraldo",10,0.6,22.3,15.0,13.0,11.9
"Caballero, José",17,0.5882352941176471,34.7,5.7,20.3,26.3
"Garcia, Maikel",17,0.5882352941176471,22.8,8.4,15.4,14.3
"Bogaerts, Xander",12,0.5833333333333334,26.4,9.9,18.4,22.3
"Herrera, Iván",14,0.5714285714285714,26.9,13.4,15.4,19.9
"Vientos, Mark",14,0.5714285714285714,37.4,3.6,22.9,30.4
"Alonso, Pete",9,0.5555555555555556,26.1,10.7,23.5,27.1
"Loftin, Nick",9,0.5555555555555556,21.0,12.4,13.1,15.3
"Walker, Christian",13,0.5384615384615384,29.8,8.5,21.3,29.6
"Grisham, Trent",10,0.5,16.3,14.4,15.9,16.3
"Burger, Jake",8,0.5,37.2,7.4,26.4,35.2
"Bichette, Bo",8,0.5,40.3,6.0,16.9,17.4
"Murakami, Munetaka",14,0.5,21.9,17.9,32.5,41.8
"Neto, Zach",14,0.5,33.7,11.3,32.0,31.8
"Happ, Ian",8,0.5,25.3,13.3,31.3,31.7
"Reynolds, Bryan",14,0.5,23.1,14.8,21.2,28.0
"Cortes, Carlos",8,0.5,23.6,10.2,11.2,19.7
"Hoskins, Rhys",10,0.5,21.3,16.1,30.3,31.0
"O'Hearn, Ryan",12,0.5,33.1,7.9,22.1,22.4
"Julien, Edouard",12,0.5,19.9,11.9,26.7,24.1
"Walls, Taylor",12,0.5,24.1,12.1,24.6,22.0
"Bohm, Alec",8,0.5,24.2,6.3,14.2,16.4
"Meidroth, Chase",8,0.5,27.5,8.7,23.6,20.2
"Soto, Juan",10,0.5,21.6,13.8,13.0,19.9
"Busch, Michael",10,0.5,24.3,15.4,22.0,25.8
"Antonacci, Sam",12,0.5,20.1,7.1,15.5,16.1
"Bleday, JJ",12,0.5,24.2,13.7,19.0,25.3
"Harper, Bryce",19,0.47368421052631576,33.2,15.2,18.7,30.1
